benchmark,add,sub,multiply_plain,rotate_rows,negate,multiply,Depth,Multplicative Depth,compile_time (s),execution_time (s)
max_3,5.0,1.0,0.0,1.0,2.0,5.0,7.0,2.0,0.171,0.812
max_4,13.0,1.0,0.0,1.0,6.0,13.0,9.0,3.0,0.241,1.957
max_5,27.0,1.0,0.0,1.0,12.0,26.0,11.0,4.0,1.048,3.732
sort_3,9.0,1.0,0.0,1.0,4.0,9.0,9.0,3.0,0.239,1.395
sort_4,40.0,1.0,0.0,1.0,10.0,57.0,15.0,6.0,36.167,7.888
discrete_cosin_transform_1,6.0,4.0,2.0,0.0,0.0,4.0,7.0,2.0,0.423,0.540
poly_derivative_1,3.0,0.0,0.0,1.0,0.0,3.0,6.0,2.0,0.172,0.492
box_blur_4,5.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.242,0.139
box_blur_8,5.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,1.067,0.139
box_blur_16,5.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,7.006,0.139
box_blur_32,5.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,12.434,0.142
lin_reg_4,2.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,0.155,0.044
lin_reg_8,2.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,0.160,0.045
lin_reg_16,2.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,0.173,0.044
lin_reg_32,2.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,0.202,0.045
poly_reg_4,3.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,0.178,0.352
poly_reg_8,3.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,0.213,0.351
poly_reg_16,3.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,0.317,0.351
poly_reg_32,3.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,0.678,0.352
dot_product_4,3.0,0.0,0.0,3.0,0.0,1.0,4.0,1.0,0.153,0.306
dot_product_8,4.0,0.0,0.0,4.0,0.0,1.0,6.0,1.0,0.169,0.343
dot_product_16,6.0,0.0,0.0,6.0,0.0,1.0,7.0,1.0,0.254,0.449
dot_product_32,7.0,0.0,0.0,7.0,0.0,1.0,9.0,1.0,1.218,0.485
gx_kernel_4,5.0,1.0,2.0,0.0,1.0,3.0,5.0,1.0,0.364,0.298
gx_kernel_8,5.0,1.0,2.0,0.0,1.0,3.0,5.0,1.0,3.293,0.299
gx_kernel_16,5.0,1.0,2.0,0.0,1.0,3.0,5.0,1.0,9.685,0.299
gx_kernel_32,5.0,1.0,2.0,0.0,1.0,3.0,5.0,1.0,13.121,0.302
gy_kernel_4,9.0,1.0,1.0,0.0,4.0,5.0,6.0,1.0,0.368,0.736
gy_kernel_8,9.0,1.0,1.0,0.0,4.0,5.0,6.0,1.0,3.319,0.737
gy_kernel_16,9.0,1.0,1.0,0.0,4.0,5.0,6.0,1.0,9.778,0.737
gy_kernel_32,9.0,1.0,1.0,0.0,4.0,5.0,6.0,1.0,13.728,0.742
roberts_cross_4,3.0,3.0,0.0,0.0,0.0,2.0,4.0,1.0,0.260,0.392
roberts_cross_8,3.0,3.0,0.0,0.0,0.0,2.0,4.0,1.0,1.157,0.392
roberts_cross_16,3.0,3.0,0.0,0.0,0.0,2.0,4.0,1.0,9.179,0.392
roberts_cross_32,3.0,3.0,0.0,0.0,0.0,2.0,4.0,1.0,14.604,0.394
matrix_mul_4,3.0,0.0,0.0,3.0,0.0,1.0,4.0,1.0,0.257,0.307
matrix_mul_8,4.0,0.0,0.0,4.0,0.0,1.0,6.0,1.0,8.086,0.344
matrix_mul_16,6.0,0.0,0.0,6.0,0.0,1.0,7.0,1.0,16.067,0.452
matrix_mul_32,31.0,0.0,0.0,0.0,0.0,32.0,6.0,1.0,66.826,5.210
tree_100-50_5_1,15.0,0.0,0.0,7.0,0.0,10.0,7.0,3.0,0.200,1.889
tree_100-50_5_2,14.0,0.0,0.0,6.0,0.0,9.0,10.0,4.0,0.510,1.707
tree_50-50_5_1,4.0,0.0,0.0,1.0,0.0,2.0,5.0,2.0,0.160,0.406
tree_50-50_5_2,3.0,0.0,0.0,1.0,0.0,2.0,5.0,2.0,0.160,0.385
tree_100-100_5_1,1.0,0.0,0.0,4.0,0.0,4.0,9.0,4.0,0.211,0.673
tree_100-100_5_2,2.0,0.0,0.0,6.0,0.0,7.0,8.0,4.0,0.179,1.147
tree_100-50_10_1,308,0,0,20,0,326,20.0,11.0,25.009,52.498
tree_100-50_10_2,332.0,0.0,0.0,6.0,0.0,330.0,27.0,10.0,34.446,53.501
tree_50-50_10_1,16.0,0.0,0.0,1.0,0.0, 16.0, 10.0, 5.0,0.762,2.637
tree_50-50_10_2,15.0,0.0,0.0,2.0,0.0, 15.0, 12.0, 5.0,11.476,2.488
tree_100-100_10_1,1.0,0.0,0.0,9.0,0.0,9.0,19.0,9.0,6.971,1.457
tree_100-100_10_2,0.0,0.0,0.0,4.0,0.0,67.0,14.0,10.0,7.084,9.461
